"시설명","일련번호","시설키","종목시설명","종목시설키","종목명","종목키","위치","면적(㎡)","규격","연면적(㎡)","문의전화","수용인원(정원)","이용대상","이용기간","이용시간","이용료(원)","용도","비고","대관링크주소","이미지파일","선별방법(선착순-1,추첨순-2)","유의사항","이용단위"
"서울교대체육시설","692","SC10197PUEF","배드민턴장","SC10197PUEF104","배드민턴","BM","","","","","02-3475-2114","","서초 구민","","개인(지역주민) : 평일 06:30-08:00, 17:30-22:00 축구장을 제외한 시설(무료) 휴일(토요일 포함) 06:30-22:00 단체(허가대상) : 휴일(토요일 포함) 06:30-18:00 축구장(유료, 시간당 5만원) ","무료","방문/유선접수","","","","","",""
"서울교대체육시설","693","SC10197PUEF","육상트랙","SC10197PUEF105","조깅/워킹","JO","","","","","02-3475-2114","","서초 구민","","개인(지역주민) : 평일 06:30-08:00, 17:30-22:00 축구장을 제외한 시설(무료) 휴일(토요일 포함) 06:30-22:00 단체(허가대상) : 휴일(토요일 포함) 06:30-18:00 축구장(유료, 시간당 5만원) ","무료","방문/유선접수","","","http://sports.seocho.go.kr/upload/epms/facility/FacilityController/2010/09/03/12835100316190.jpg","","",""
"서울교대체육시설","694","SC10197PUEF","축구장","SC10197PUEF106","축구","SO","","","","","02-3475-2114","","서초 구민","","개인(지역주민) : 평일 06:30-08:00, 17:30-22:00 축구장을 제외한 시설(무료) 휴일(토요일 포함) 06:30-22:00 단체(허가대상) : 휴일(토요일 포함) 06:30-18:00 축구장(유료, 시간당 5만원) ","시간당 50,000,","학교행사 및 수업시간을 제외한 시간에 한하며, 시설물 사용 절차에 따라 사용허가","","","http://sports.seocho.go.kr/upload/epms/facility/FacilityController/2010/09/03/12835100316190.jpg","","","단체별 3시간이내(22명~40명)"
"뚝섬서울숲","729","SD10206PUEF","승마장","SC10206PUEF108","승마","RD","","13065","큰마장(4,623(㎡),작은마장(1,976(㎡)","","","","","","","","","","","http://sports.seoul.go.kr//images/img_ground/ri.jpg","","",""
"살곶이체육공원","730","SD10207PUEF","농구장","SD10207PUEF101","농구","BK","","","","","","","","","","","","","","","","",""
"살곶이체육공원","731","SD10207PUEF","인라인스케이트장","SD10207PUEF102","인라인","IN","","","","","","","","","","","","","","","","",""
"살곶이체육공원","732","SD10207PUEF","수영장","SD10207PUEF103","수영","SW","","","","","","","","","","","","","","","","",""
"살곶이체육공원","733","SD10207PUEF","축구장","SD10207PUEF104","축구","SO","","","","","","","","","","","","","","","","",""
"응봉산 인공암벽공원","734","SD10208PUEF","인공암벽공원","SD10208PUEF101","암벽등반","RC","","5200","","","","","","","","","","","","http://sd.go.kr/images/kid/a/050030010_img01.gif","","",""
"자전거체험장","735","SD10209PUEF","실외교육장","SD10209PUEF101","사이클(자전거)","CY","","118","","","","","","","","","","","","http://sports.seoul.go.kr//images/img_ground/cy11.jpg","","",""
"자전거체험장","736","SD10209PUEF","코스구간","SD10209PUEF102","사이클(자전거)","CY","","868","","","","","","","","","","","","http://sports.seoul.go.kr//images/img_ground/cy1.jpg","","",""
"자전거체험장","737","SD10209PUEF","연습구간","SD10209PUEF103","사이클(자전거)","CY","","763","","","","","","","","","","","","http://sports.seoul.go.kr//images/img_ground/cy.jpg","","",""
"서대문구립인조잔디구장","738","SM10210PUEF","인조잔디구장","SM10210PUEF101","축구","SO","","","가로 94M, 세로61M/조깅트랙:2,4M×330M",""," 02-360-8685","","관내 거주하는 단체, 클럽, 동호회, 직장에 한 함","","① 07:00~08:00 ② 08:00~10:00 ③ 10:00~12:00 ④12:00~14:00  　 ⑤ 14:00~16:00 ⑥ 16:00~18:00 ⑦ 18:00~20:00 (조깅트랙 이용시간 : 06:00~22:00 )","평일 : 55,000원 　 → 토요일(일요일, 공휴일) 71,500 원(2시간 기준) 　 ※ 부가세 10% 별도","","본부석 , 관람석 , 탈의실 , 남.녀화장실","","http://www.sscmc.or.kr/images/sub_top_img3_301.gif"," ① 사용신청서 접수 　 - 추첨 후 선착순 전화 신청 (문의 02)360-8685) 　 - 팩스 접수 (FAX 02)395-0240)(신청서 양식은 홈페이지참조) ② 이용신청 추첨 : 등록팀에 한해서 지정된 날짜에 참가하여 추첨","취소 및 환불은 5일 이내에 신청 가능하며, 해당 양식은 담당자에게 문의(02-360-8685)하여 주시기 바랍니다. 　→ 잔디구장의 무단 사용은 불가합니다.(단, 조깅트랙은 가능합니다.)  ","야간조명 이용요금 : 해지는 시간을 기준으로 30분당 5,000원 전광판 이용요금 : 1월 ~ 12월 - 5,500원(30분 기준) 탈의실 이용요금 : 무료 주차장 이용요금 : 별도징수 (3시간 무료) "
"송파구여성전용축구장","739","SP10211PUEF","인조잔디축구장","SP10211PUEF101","축구","SO","야외","15000","54m×94m","15000","02-412-5969","","","","","평일:67,500원, 토.일:75000원 (요금 납부 방식:카드결제 ,통장입금)   ","","본부석,관람대,관리실,음수대","","http://www.songpagongdan.or.kr/images/sports/06_01.gif","공개 추첨을 원칙으로 함. 추첨 참가 자격은 등록팀에 한함 ","추첨일일시 : 매월 셋째주 금요일(09:30) 장소 : 송파구여성축구장 관리사무소 (1층) 추첨후 잔여 시간은 선착순 접수(전화 또는 방문)","2시간"
"오금공원","742","SP10212PUEF","오금공원인라인경기장","SP10212PUEF101","하키","HO","","3016","","","","","","","","","","사무실,락카룸,샤워장/ 조립식건물(사무실) 1동","","http://sports.seoul.go.kr//images/img_ground/ho1.jpg","","",""
"오금공원","743","SP10212PUEF","오금공원테니스장","SP10212PUEF102","테니스","TN","","1299","테니스장 2면, 조명시설 1식(4개),","","","","","","","","","","","http://www.songpagongdan.or.kr/images/sports/05_01.gif","","",""
"올림픽수영장","744","SP10213PUEF","수영장","SP10213PUEF101","수영","SW","1층","2025","• 경영풀 : 50m × 25m • 연습풀 : 50m × 12.5m • 다이빙풀 : 25m × 25m × 5m ","","02-410-1655~6","","","","1.주간:09:00~18:00/2.야간:18:00~24:00/3.심야:24:00~다음날09:00","<1.일반행사_평일-주간:250,000/야간:325,000/심야:325,000_주말및공휴일-주간:325,000/야간:422,000/심야:422,000_ 2.체육행사_평일-주간:851,000/주말및공휴일-주간:1,106,000","","","","http://swimming.ksponco.or.kr/images/egovframework/olParkSwimSports/intro/img_facilities_01.gif","","",""
"올림픽수영장","745","SP10213PUEF","헬스장","SP10213PUEF102","헬스","HE","1층","","","","","","","","","","","","","http://swimming.ksponco.or.kr/images/egovframework/olParkSwimSports/intro/img_facilities_02.gif","","",""
"올림픽수영장","746","SP10213PUEF","문화강좌교실","SP10213PUEF103","댄스","DA","지하1층","","","","","","","","","","","","","http://swimming.ksponco.or.kr/images/egovframework/olParkSwimSports/intro/img_facilities_03.gif","","",""
"올림픽수영장","747","SP10213PUEF","스피닝바이크","SP10213PUEF104","에어로빅","AE","지하1층","","","","","","","","","","","","","http://swimming.ksponco.or.kr/images/egovframework/olParkSwimSports/intro/img_facilities_05.gif","","",""
"올림픽올팍축구장","748","SP10214PUEF","벨로드롬","SP10214PUEF101","축구","SO","실외","","풋살구장:4면(40m×20m),미니축구장 1면(80m×40m)","","02-410-1673","","","","06:00~22:00","축구경기-165,000원/2시간, 풋살경기-55,000원/2시간,조명사용료 별도: 22,000/1시간","","회원휴게실, 샤워실, 탈의실","","http://sports.seoul.go.kr//images/img_center/SP10214PUEF.jpg ","예약방법-홈페이지예약신청후팩스전송,방문접수","스포츠 외 타목적 금지,화기사용금,애완동물출입금지,잔디보호를위해철심이박힌운동화사용금지","2시간"
"올림픽체조경기장","749","SP10215PUEF","체조경기장","SP10215PUEF101","체조","GN","","30548","","30548","02-410-1601~3","15000석","","","","[공공행사]1구간(평일/주말,공휴일) : 900,000원/1,172,000원, 2구간(평일/주말,공휴일) : 509,000원/662,000원[문화예술행사]1구간(평일/주말,공휴일) : 1,653,000원/2,149,000원, 2구간(평일/주말,공휴일) : 936,000원/1,216,000원 [일반행사]1구간(평일/주말,공휴일) : 2,016,000원/2,623,000원 2구간(평일/주말,공휴일) : 1,134,000원/662,000원","","","","http://sports.seoul.go.kr//images/img_ground/CH.jpg","","","18시간"
"올림픽펜싱경기장","750","SP10216PUEF","올림픽펜싱경기장","SP10216PUEF101","펜싱","FC","올림픽펜싱경기장","16538","","","02-410-1601","","","","1구간-07:00~24:00/2구간-24:00~다음날07:00","[공공행사]<1구간-평일:587,000,주말및공휴일:763,000><2구간:평일:332,000/주말및공휴일:431,000/[일반행사]<1구간-평일:1,134,000,주말및공휴일:1,474,000><2구간:평일:641,000/주말및공휴일:834,000원","","","","http://sports.seoul.go.kr//images/img_ground/PE.jpg","","",""
"천마공원축구장","751","SP10217PUEF","축구장","SP10217PUEF101","축구","SO","","6800","인조잔디구장1면(60X92),관람스탠,우레탄조깅로","6800","02-403-2395","","","","","평일:67,500/토,일:7,5000/야간30%할증:22,000","방문 또는 전화 예약","그늘막 3개소, 음수대 1개소","","http://www.songpagongdan.or.kr/images/sports/04_01.gif","2(공개추첨)","","2시간"
"한강시민공원잠실지구","752","SP10218PUEF","수영장","SP10218PUEF101","수영","SW","","27945","","","02-421-2564","3400명","제한없음","7~8월","09:00~20:00","","매년 계약업체가 상이함에 따라 연락처와 요금은 매년 변경됨","","","http://hangang.seoul.go.kr/park_jamsil/images/contents/enjoy02_2.jpg","","",""
"한강시민공원잠실지구","753","SP10218PUEF","게이트볼장","SP10218PUEF102","게이트볼","GB","","","","","02-3780-0511","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","","","","","http://hanganggis.seoul.go.kr/pic/GATEBALL/GATEBALL17.JPG","","",""
"한강시민공원잠실지구","754","SP10218PUEF","배구장","SP10218PUEF103","배구","VB","","","","","02-3780-0511","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","4000원","월 정액시 75000원","","http://yeyak.seoul.go.kr/main.web","http://hanganggis.seoul.go.kr/pic/VOLLEYBALL/VOLLEYBALL028.JPG","","사용일 기준 30일전 14:00~이용당일 / 인터넷예약, 현금사용 불가 등","2시간"
"한강시민공원잠실지구","756","SP10218PUEF","청소년광장","SP10218PUEF105","축구","SO","","","","","02-3780-0511","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","","","","","","","",""
"한강시민공원잠실지구","757","SP10218PUEF","트랙광장","SP10218PUEF106","조깅/워킹","JO","","","","","02-3780-0511","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","","","","","","","",""
"한강시민공원강서지구","615","GS10173PUEF","체력단련기구","GS10173PUEF104","헬스","HE","","","","","02-3780-0621 ","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","","","","","http://hangang.seoul.go.kr/park_gangseo/images/contents/intro02_p04.gif","","",""
"한강시민공원강서지구","616","GS10173PUEF","축구장","GS10173PUEF105","축구","SO","","","","","02-3780-0621 ","","제한없음","","07:00~06:00(3월~9월 : 06:00~08:00)","12000원","월 정액시 225000원","","http://yeyak.seoul.go.kr/main.web","http://hangang.seoul.go.kr/park_gangseo/images/contents/intro02_p01.gif","","사용일 기준 30일전 12:00~이용당일 / 인터넷예약, 현금사용 불가 등","2시간"
"한강시민공원강서지구","617","GS10173PUEF","족구장","GS10173PUEF106","족구","FV","","","","","02-3780-0621 ","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","4000원","월 정액시 75000원","","http://yeyak.seoul.go.kr/main.web","","","사용일 기준 30일전 14:00~이용당일 / 인터넷예약, 현금사용 불가 등","2시간"
"한강시민공원강서지구","618","GS10173PUEF","자전거대여소","GS10173PUEF107","학교체육","SG","방화대교 밑","","","","011-276-7675","","제한없음","","","1인용 : 3000원, 3인용 : 6000원","1인용 15분 초과당 500원추가, 3인용 15분 초과당 1000원 추가","","","","","대여시 신분증 지참","1시간"
"손기정체육공원","619","JG10174PUEF","배드민턴장","JG10174PUEF101","배드민턴","BM","","","","","","","","","","","","음수대2, 운동시설 : 철봉외 6종 9조 ","","","","",""
"손기정체육공원","620","JG10174PUEF","게이트볼장","JG10174PUEF102","게이트볼","GB","","","","","","","","","","","","","","","","",""
"손기정체육공원","621","JG10174PUEF","테니스장","JG10174PUEF103","테니스","TN","","","","","","","","","","","","","","","","",""
"장충수영장","622","JG10175PUEF","수영장","JG10175PUEF101","수영","SW","동국내학교내","","","","","","","","","","","","","http://sports.seoul.go.kr//images/img_ground/sw9.jpg","","",""
"삼청테니스장","623","JN10176PUEF","주코트","JN10176PUEF101","테니스","TN","","2516","주 코트 4면 ","","","","","","","","","탈의실,사무실","","http://sports.seoul.go.kr//images/img_ground/te2.jpg","","",""
"삼청테니스장","624","JN10176PUEF","보조코트","JN10176PUEF102","테니스","TN","","1258","보조코트 2면","","","","","","","","","","","http://sports.seoul.go.kr//images/img_ground/te1.jpg","","",""
"황학정","625","JN10177PUEF","국궁장","JN10177PUEF101","궁도","AR","","","","","","","","","","","","","","","","",""
"용마폭포공원","626","JR10178PUEF","축구장","JR10178PUEF101","축구","SO","","13304","111M * 77M","13304","02-436-3466 ","300~500","중랑구민,사업체/타 지역","","06:00~22:00","중랑구민,사업체/ 타 지역 분류마다 금액과 선발 방법이 다름 홈페이지 참조(http://www.jungnangimc.or.kr/content.do?sgrp=S01&siteCmsCd=CM0001&topCmsCd=CM0004&cmsCd=CM0101&pnum=5&cnum=24)","추첨시간(당일9시부터), 접수일이 토,일 공휴일인 경우 1일전에 접수","탈의실,샤워실,관람석","","http://www.jungnangimc.or.kr/html/images/installations/common/sports05_01.jpg","관내(중랑구민/중랑구내 사업체)- 1, 관외(타지역)- 2","",""
"용마폭포공원","627","JR10178PUEF","테니스장","JR10178PUEF102","테니스","TN","","1505","105M×68M(테니스코트 3면, 라이트 시설 1조)","1505","","","","","06:00~22:00","평일-주간 : 8,000원 / 야간: 10,400원 토,일,공휴일 :주간:10,400원/야간:10,400원 ","조명료 2시간/4,000원","","","http://www.jungnangimc.or.kr/html/images/installations/intro/sports08.jpg","1","","2시간 1면 기준"
"중랑구립잔디운동장","628","JR10179PUEF","축구장","JR10179PUEF101","축구","SO","","13304","","13304","02-2094-2949","","중랑구민,사업체/타 지역","","06:00~22:00","중랑구민,사업체/ 타 지역 분류마다 금액과 선발 방법이 다름 홈페이지 참조(http://www.jungnangimc.or.kr/content.do?sgrp=S01&siteCmsCd=CM0001&topCmsCd=CM0004&cmsCd=CM0101&pnum=5&cnum=24)","추첨시간(당일9시부터), 접수일이 토,일 공휴일인 경우 1일전에 접수","탈의실,화장실,샤워장,관람석","","http://www.jungnangimc.or.kr/html/images/installations/common/sports04_02.jpg","관내(중랑구민/중랑구내 사업체)- 1, 관외(타지역)- 2","",""
"마포아트센터사계절스케이트장","629","MP10180PUEF","스케이트장","MP10180PUEF101","스피드스케이트","SS","","","","","","","","","","","","","","","","",""
"망원동배드민턴장","630","MP10181PUEF","배드민턴장","MP10181PUEF101","배드민턴","BM","지상1층","537","총 5 면","537","02-300-5075","","","","하절기: 05:00~22:00 / 동절기: 06:00~22:00","무료개방","","","","http://sports.seoul.go.kr//images/img_ground/mw.jpg","","",""
"와우산배드민턴장","631","MP10182PUEF","배드민턴장","MP10182PUEF101","배드민턴","BM","지상1층","연면적 1254.6","총 9 면","","","","","","하절기: 05:00~22:00 / 동절기: 06:00~22:00","무료개방","","휴게실 및 관리실 4동","","http://sports.seoul.go.kr//images/img_ground/bn.jpg","","",""
"월드컵공원","632","MP10183PUEF","다목적구장","MP10183PUEF101","축구","SO","","1600","농구, 배구, 족구 겸용 1면1,600㎡ (폭40m,길이40m)","1600","02-300-5521","","","연중 개장,","09:00~17:00(각 월마다 일출,일몰시간을 고려하여 탄력적 조정 가능)","평일8,000원/주말및공휴일10,400원","","정자 2동, 의자 20m, 음수대 2개소,클럽하우스 1동,코치석, 관람석(100석),탈의실,음수대,백보드1면, 관리실및탈의실 1동","http://worldcuppark.seoul.go.kr/guide/sports2_1.html","http://worldcuppark.seoul.go.kr/facilities/image/photo_ba.jpg","인터넷접수가","","2시간"
"월드컵공원","633","MP10183PUEF","파크골프장","MP10183PUEF102","골프","GF","","14000","18홀",""," 02-304-3212 ","",""," 09:00 ~ 18:00 (마지막 입장시간 16:30)"," 09:00 ~ 18:00 (마지막 입장시간 16:30)","장소사용료 4,000원 , 장소사용료 4,000원 ","","","https://strawberry.mainticket.co.kr/strawberry/strawberry.aspx?companycode=0010&shopcode=0001#","http://worldcuppark.seoul.go.kr/guide/image/parkgolf3.jpg","인터넷접수가, 운동시간 예약제로 사전 부킹을 우선","매주 월요일은 휴무입니다. ",""
"월드컵공원","634","MP10183PUEF","인조잔디축구장","MP10183PUEF103","축구","SO","","8510","축구장 1면","8510","02-3153-8375","","","연중 개장","09:00~17:00(각 월마다 일출,일몰시간을 고려하여 탄력적 조정 가능)","","","","","http://worldcuppark.seoul.go.kr/facilities/image/sp_foot.jpg","인터넷 접수가","금연,취사행위금지,애완동물,오토바이등 출입금지,쓰레기투기금지,'물'이외의 커피,청량음료,주류 반입 금지","2시간"
"월드컵공원","635","MP10183PUEF","테니스장","MP10183PUEF104","테니스","TN","","1800","클레이코트 2면","1800","02-300-5521","","","연중 개장","09:00~17:00(각 월마다 일출,일몰시간을 고려하여 탄력적 조정 가능)","평일8,000원/주말및공휴일10,400원","","","http://worldcuppark.seoul.go.kr/guide/sports2_1.html","http://worldcuppark.seoul.go.kr/facilities/image/photo_ten.jpg","인터넷 접수가","","2시간"
"한강시민공원난지지구","636","MP10184PUEF","국궁장","MP10184PUEF101","궁도","AR","","","","","","","","","","","","","","http://hanganggis.seoul.go.kr/pic/ARCH/ARCH001.JPG","","",""
"한강시민공원난지지구","637","MP10184PUEF","야구장","MP10184PUEF102","야구","BB","","","천연잔디구장: 11956 x 2면","","02-3780-0808","","성인","","","80000원","","","http://yeyak.seoul.go.kr/main.web","http://hangang.seoul.go.kr/park_nanji/images/contents/intro03_2.jpg","","","3시간"
"한강시민공원난지지구","638","MP10184PUEF","자전거공원","MP10184PUEF103","학교체육","SG","자전거공원","","MTB코스장 : 5,425㎡, 익스트림장 : 4,397㎡ 어린이자전거교육장 : 2,500㎡","","02-3780-0611","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","","","","","http://hangang.seoul.go.kr/images/contents/enjoy02_04_1.gif","","",""
"한강시민공원난지지구","639","MP10184PUEF","자전거대여점","MP10184PUEF104","학교체육","SG","자전거공원 앞","","","","011-276-7675","","제한없음","","09:00~20:00","1인용 : 3000원, 2인용 : 6000원","","","","","","","1시간"
"초안산근린공원","669","NW10191PUEF","인조잔디구장","NW10191PUEF102","테니스","TN","지상","2340","코트 4면","2340","02-900-8691","","","","","","","","","http://sports.seoul.go.kr//images/img_ground/so2.jpg","","",""
"한강시민공원잠실지구","758","SP10218PUEF","육상연습장","SP10218PUEF107","조깅/워킹","JO","","","환형마사토 트랙","","02-3780-0511","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","","","","","","","",""
"한강시민공원잠실지구","759","SP10218PUEF","축구장","SP10218PUEF108","축구","SO","","","","","02-3780-0511","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","12000원","월 정액시 225000원","","http://yeyak.seoul.go.kr/main.web","http://hanganggis.seoul.go.kr/pic/SOCCER/SOCCER017.JPG","","사용일 기준 30일전 10:00~이용당일 / 인터넷예약, 현금사용 불가 등","2시간"
"한강시민공원잠실지구","760","SP10218PUEF","자전거대여점","SP10218PUEF109","학교체육","SG","","","","","010-9931-4440","","제한없음","3~11월","09:00~일몰시","1인용 : 3000원, 2인용 : 6000원","1인용 15분 초과당 500원추가, 2인용 15분 초과당 1000원 추가","","","","","","1시간"
"한강시민공원잠실지구","761","SP10218PUEF","수상스키","SP10218PUEF110","수상스포츠","SC","","","","","","","","","","","","","","","","",""
"한강시민공원잠실지구","762","SP10218PUEF","요트장","SP10218PUEF111","수상스포츠","SC","","","","","","","","","","","","","","","","",""
"목동테니스장","763","YC10219PUEF","테니스장","YC10219PUEF101","테니스","TN","","9216","18면","9216","02-2643-0686","","조기회원제는 규정된 시간에 한하여 사용가능하며 일상생활이 바쁘신 직장인을 대상으로 운영 | 일반회원제는 주5회 실시하며 주부 및 테니스 동호인들을 대상으로 운영","","조기회원제: 운영시간(월요일~토요일) : 06:00~09:00 | 일반회원제:운영시간(월요일~금요일) : 09:00~18:00  ","※개인사용료:1면2시간:평 일(8,000원),주말휴일(11,000원)※전용사용료:1면 1일 8시간:평 일( 55,000원 ),주말휴일(72,000원) ※조기회원:월~토 06~09시 1면당:조명미사용(140,000원),조명사용(180,000원) ※일반회원:월~금 09~19시 1면 2시간:일반회원(100,000원),경로회원(50,000원)","테니스","백보드1조, 관리동(샤워실, 라커룸), 창고","","http://www.ycs.or.kr/images/rent/tennis.jpg","전화예약","(전용사용)  - 전용신청시 직접 방문 또는 전화로 사용일정협의후 전용사용신청서 작성 → 전용사용 승인 후 승인서   교부 → 지정된 기일내에 사용료 무통장 입금   - 코트전용사용은 평일에 한하며 11면이상 사용시 할인율 차등 적용 (야간사용) - 이용시간 : 19:00 ~ 21:00, 06:00 ~ 08:00  - 전용신청시 직접 방문 또는 전화로 사용일정협의후 전용사용신청서 작성 → 전용사용 승인 후 승인서   교부 → 지정된 기일내에 사용료 무통장 입금 및 현장수납  - 사용금액 : 평일-1면당 16,000원(경로 및 학생 8,000원), 주말-1면당 22,000원(경로 및 학생 11,000원)",""
"신월야구공원","764","YC10220PUEF","야구장","YC10220PUEF101","야구","BB","","","","","","","","","","","","좌석수300석","","http://sports.seoul.go.kr//images/img_ground/so1.jpg","","",""
"안양천체육시설","765","YC10221PUEF","게이트볼장","YC10221PUEF101","게이트볼","GB","오목교밑","","2면","","02-2620-3400","","게이트볼 회원(문의전화)","","","","","","","","","",""
"안양천체육시설","766","YC10221PUEF","궁도장","YC10221PUEF102","궁도","AR","오목교밑","3920","112×35","","02-2620-3400","","","","","","","","","","","",""
"안양천체육시설","767","YC10221PUEF","운동장","YC10221PUEF103","축구","SO","소방파출소앞","2455","45×55","","","","","","","","","","","","","",""
"안양천체육시설","768","YC10221PUEF","야구장","YC10221PUEF104","야구","BB","신정교밑","4255","65×65","","02-2620-3400","","일반 이용자(주말리그)","","","","방문 접수(구청), 예약제","","","","선착순 예약제","","2시간"
"안양천체육시설","769","YC10221PUEF","우드볼장","YC10221PUEF105","게이트볼","GB","양평교밑","5000","50×100","","02-2620-3400","","우드볼 회원","","","","","","","","","",""
"안양천체육시설","770","YC10221PUEF","인라인스케이트장","YC10221PUEF106","인라인","IN","오금교밑","10000","연장-400 폭 - 20","","02-2652-9992","","게이트볼 회원","","","","","","","","비예약 자율이용제","시설이용자 60%이상이 양천구 주민 또는 양천구 소재 직장인만 이용가능 ",""
"안양천체육시설","771","YC10221PUEF","인라인스케이트장","YC10221PUEF107","인라인","IN","목동교밑","","연장-500 폭 - 20","","02-2652-9993","","국궁장/양궁장","","","","","","","","비예약 자율이용제","시설이용자 60%이상이 양천구 주민 또는 양천구 소재 직장인만 이용가능 ",""
"안양천체육시설","772","YC10221PUEF","축구장","YC10221PUEF108","축구","SO","신정교 밑","2700","80×60","","02-2652-9998","","일반 이용자 (주말리그)","","","","방문 접수(구청), 예약제","","","","선착순 예약제","시설이용자 60%이상이 양천구 주민 또는 양천구 소재 직장인만 이용가능 ","3시간"
"안양천체육시설","773","YC10221PUEF","축구장","YC10221PUEF109","축구","SO","신정교 밑","","80×60","","02-2652-9998","","일반 이용자","","","","방문 접수(구청), 예약제","","","","선착순 예약제","시설이용자 60%이상이 양천구 주민 또는 양천구 소재 직장인만 이용가능 ","3시간"
"안양천체육시설","774","YC10221PUEF","축구장","YC10221PUEF110","축구","SO","신정교 밑","","40×30","","02-2652-9999","","청소년 (축구교실)","","","","","","","","축구교실 우선/비예약 자율이용제","시설이용자 60%이상이 양천구 주민 또는 양천구 소재 직장인만 이용가능 ",""
"안양천체육시설","775","YC10221PUEF","축구장","YC10221PUEF111","축구","SO","오금교밑","","45×60","","02-2652-10000","","일반 이용자","","","","방문 접수(구청), 예약제","","","","비예약 자율이용제","시설이용자 60%이상이 양천구 주민 또는 양천구 소재 직장인만 이용가능 ",""
"안양천체육시설","776","YC10221PUEF","자전거도로","YC10221PUEF112","학교체육","SG","","","연장-5,400 폭 - 4","","02-2652-10001","","일반 이용자","","","","","","","","비예약 자율이용제","시설이용자 60%이상이 양천구 주민 또는 양천구 소재 직장인만 이용가능 ",""
"영학정","777","YC10222PUEF","궁도장","YC10222PUEF101","궁도","AR","","","","","","","","","","","","","","","","",""
"해누리체육공원","778","YC10223PUEF","게이트볼장","YC10223PUEF101","게이트볼","GB","지상1층","800","2면","","","","","","","","","이동화장실 1개","","","","",""
"한강시민공원잠실지구","755","SP10218PUEF","족구장","SP10218PUEF104","족구","FV","","","","","02-3780-0511","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00,?1~3, 10~12월?: 07:00~18:00)","4000원","월 정액시 75000원","","","","","사용일 기준 30일전 14:00~이용당일 / 인터넷예약, 현금사용 불가 등","2시간"
"한강시민공원난지지구","640","MP10184PUEF","물놀이장","MP10184PUEF105","수영","SW","","7040","최대수심 80㎝, 연장 140m","","02-373-8951","1100명","제한없음","","","","","","","http://hangang.seoul.go.kr/images/contents/enjoy02_05_2.gif","","",""
"한강시민공원난지지구","641","MP10184PUEF","수상스키장","MP10184PUEF106","수상스포츠","SC","","","","","02-372-5221","","제한없음","","","","","","","http://spp.seoul.go.kr/cms/upload/photo/P0993/20091220145801004.jpg","","",""
"한강시민공원난지지구","642","MP10184PUEF","요트훈련장","MP10184PUEF107","","","","","","","010-9712-9112","","제한없음","","","","","","","http://spp.seoul.go.kr/cms/upload/photo/P0993/20091220145801004.jpg","","",""
"한강시민공원난지지구","643","MP10184PUEF","난지캠핑장","MP10184PUEF108","","","","","","","02-304-0061~3","","","연중 무휴","","","","","","http://sports.seoul.go.kr//images/img_ground/ca.jpg","","",""
"한강시민공원망원지구","644","MP10185PUEF","수영장","MP10185PUEF101","수영","SW","","","","","02-322-6302","","제한없음","7월~8월 개장","09:00~20:00","","자유이용","","","http://hangang.seoul.go.kr/park_mangwon/images/contents/enjoy01_1.jpg","","",""
"한강시민공원망원지구","645","MP10185PUEF","게이트볼장","MP10185PUEF102","게이트볼","GB","","","","","02-3780-0601 ","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","","","","","http://hanganggis.seoul.go.kr/pic/GATEBALL/GATEBALL2.JPG","","사용일 기준 30일전 14:00~이용당일 / 인터넷예약, 현금사용 불가 등",""
"한강시민공원망원지구","646","MP10185PUEF","농구장","MP10185PUEF103","농구","BK","","","","","02-3780-0601 ","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","4000원","월 정액시 75000원","","http://yeyak.seoul.go.kr/main.web","http://hanganggis.seoul.go.kr/pic/BASKETBALL/BASKETBALL012.JPG","","사용일 기준 30일전 14:00~이용당일 / 인터넷예약, 현금사용 불가 등","2시간"
"한강시민공원망원지구","647","MP10185PUEF","다목적운동장","MP10185PUEF104","축구","SO","","","","","02-3780-0601 ","","제한없음","","06:00~20:00(4~9월 : 06:00~20:00, 1~3, 10~12월 : 07:00~18:00)","","","","","","","",""
